"","BH105","BH106","BH101","BH103","count"
"336",3,1,5,4,3
"337",3,1,5,7,1
"338",3,1,6,0,2
"339",3,1,6,6,2
"340",3,1,6,7,1
"341",3,1,7,7,2
"342",3,2,0,0,17
"343",3,2,0,2,2
"344",3,2,0,4,2
"345",3,2,0,5,1
"346",3,2,1,0,1
"347",3,2,2,0,2
"348",3,2,2,2,2
"349",3,2,3,4,1
"350",3,2,4,5,1
"351",3,2,5,5,1
"352",3,2,7,3,2
"353",3,2,7,7,1
"354",3,3,0,0,4
"355",3,3,0,1,1
"356",3,3,0,2,1
"357",3,3,0,3,1
"358",3,3,0,4,1
"359",3,3,0,7,10
"360",3,3,2,2,1
"361",3,3,2,4,1
"362",3,3,3,2,1
"363",3,3,7,7,2
"364",3,4,0,0,6
"365",3,4,0,1,1
"366",3,4,0,2,1
"367",3,4,1,7,1
"368",3,4,6,0,1
"369",3,4,7,3,1
"370",3,4,7,7,1
"371",3,5,0,0,1
"372",3,5,0,3,1
"373",3,5,2,0,1
"374",3,5,4,0,1
"375",3,5,5,1,1
"376",3,NA,0,0,3
"377",4,0,0,0,152
"378",4,0,0,1,12
"379",4,0,0,2,14
"380",4,0,0,3,13
"381",4,0,0,4,11
"382",4,0,0,5,16
"383",4,0,0,6,4
"384",4,0,0,7,13
"385",4,0,1,0,10
"386",4,0,1,2,1
"387",4,0,1,4,2
"388",4,0,1,5,1
"389",4,0,1,7,1
"390",4,0,2,0,6
"391",4,0,2,1,2
"392",4,0,2,2,2
"393",4,0,2,4,1
"394",4,0,2,5,1
"395",4,0,2,7,2
"396",4,0,3,0,5
"397",4,0,3,1,2
"398",4,0,3,2,2
"399",4,0,3,3,4
"400",4,0,3,4,1
"401",4,0,3,6,1
"402",4,0,3,7,1
"403",4,0,4,0,4
"404",4,0,4,1,1
"405",4,0,4,2,1
"406",4,0,4,3,2
"407",4,0,4,5,1
"408",4,0,4,6,2
"409",4,0,4,7,1
"410",4,0,5,0,2
"411",4,0,5,1,1
"412",4,0,5,2,1
"413",4,0,5,5,2
"414",4,0,5,7,1
"415",4,0,6,2,1
"416",4,0,7,3,1
"417",4,0,7,7,2
"418",4,1,0,0,84
"419",4,1,0,1,9
"420",4,1,0,2,4
"421",4,1,0,3,4
"422",4,1,0,4,9
"423",4,1,0,5,8
"424",4,1,0,6,1
"425",4,1,0,7,15
"426",4,1,1,0,2
"427",4,1,1,1,1
"428",4,1,1,2,2
"429",4,1,1,3,1
"430",4,1,1,4,3
"431",4,1,1,5,2
"432",4,1,2,2,2
"433",4,1,2,3,2
"434",4,1,2,5,1
"435",4,1,3,0,4
"436",4,1,3,1,1
"437",4,1,3,2,3
"438",4,1,3,3,2
"439",4,1,3,4,1
"440",4,1,3,5,1
"441",4,1,3,7,1
"442",4,1,4,2,2
"443",4,1,4,6,1
"444",4,1,4,7,1
"445",4,1,5,2,1
"446",4,1,5,5,1
"447",4,1,5,7,2
"448",4,1,6,7,1
"449",4,1,7,0,3
"450",4,1,7,4,1
"451",4,1,7,7,4
"452",4,2,0,0,11
"453",4,2,0,1,3
"454",4,2,0,2,1
"455",4,2,0,3,5
"456",4,2,0,4,1
"457",4,2,0,5,2
"458",4,2,0,7,2
"459",4,2,1,1,1
"460",4,2,2,2,1
"461",4,2,2,3,1
